partyId,partyTypeId,statusId
CP0001,PARTY_GROUP,PARTY_ENABLED
CP0002,PARTY_GROUP,PARTY_ENABLED
CP0003,PARTY_GROUP,PARTY_ENABLED
CP0004,PARTY_GROUP,PARTY_ENABLED
CP0005,PARTY_GROUP,PARTY_ENABLED
CP0006,PARTY_GROUP,PARTY_ENABLED
CP0007,PARTY_GROUP,PARTY_ENABLED
CP0008,PARTY_GROUP,PARTY_ENABLED
CP0009,PARTY_GROUP,PARTY_ENABLED
CP0010,PARTY_GROUP,PARTY_ENABLED
CP0011,PARTY_GROUP,PARTY_ENABLED
CP0012,PARTY_GROUP,PARTY_ENABLED
CP0013,PARTY_GROUP,PARTY_ENABLED
CP0014,PARTY_GROUP,PARTY_ENABLED
CP0015,PARTY_GROUP,PARTY_ENABLED
CP0016,PARTY_GROUP,PARTY_ENABLED
CP0017,PARTY_GROUP,PARTY_ENABLED
CP0018,PARTY_GROUP,PARTY_ENABLED
CP0019,PARTY_GROUP,PARTY_ENABLED
CP0020,PARTY_GROUP,PARTY_ENABLED
CP0021,PARTY_GROUP,PARTY_ENABLED
CP0022,PARTY_GROUP,PARTY_ENABLED
CP0023,PARTY_GROUP,PARTY_ENABLED
CP0024,PARTY_GROUP,PARTY_ENABLED
CP0025,PARTY_GROUP,PARTY_ENABLED
CP0026,PARTY_GROUP,PARTY_ENABLED
CP0027,PARTY_GROUP,PARTY_ENABLED
CP0028,PARTY_GROUP,PARTY_ENABLED
CP0029,PARTY_GROUP,PARTY_ENABLED
CP0030,PARTY_GROUP,PARTY_ENABLED
CP0031,PARTY_GROUP,PARTY_ENABLED
CP0032,PARTY_GROUP,PARTY_ENABLED
CP0033,PARTY_GROUP,PARTY_ENABLED
CP0034,PARTY_GROUP,PARTY_ENABLED
CP0035,PARTY_GROUP,PARTY_ENABLED
CP0036,PARTY_GROUP,PARTY_ENABLED
CP0037,PARTY_GROUP,PARTY_ENABLED
CP0038,PARTY_GROUP,PARTY_ENABLED
CP0039,PARTY_GROUP,PARTY_ENABLED
CP0040,PARTY_GROUP,PARTY_ENABLED
CP0041,PARTY_GROUP,PARTY_ENABLED
CP0042,PARTY_GROUP,PARTY_ENABLED
CP0043,PARTY_GROUP,PARTY_ENABLED
CP0044,PARTY_GROUP,PARTY_ENABLED
CP0045,PARTY_GROUP,PARTY_ENABLED
CP0046,PARTY_GROUP,PARTY_ENABLED
CP0047,PARTY_GROUP,PARTY_ENABLED
CP0048,PARTY_GROUP,PARTY_ENABLED
CP0049,PARTY_GROUP,PARTY_ENABLED
CP0050,PARTY_GROUP,PARTY_ENABLED
CP0051,PARTY_GROUP,PARTY_ENABLED
CP0052,PARTY_GROUP,PARTY_ENABLED
