partyId,statusDate,statusId
CP0001,01-01-01 12:00,PARTY_ENABLED
CP0002,01-01-01 12:00,PARTY_ENABLED
CP0003,01-01-01 12:00,PARTY_ENABLED
CP0004,01-01-01 12:00,PARTY_ENABLED
CP0005,01-01-01 12:00,PARTY_ENABLED
CP0006,01-01-01 12:00,PARTY_ENABLED
CP0007,01-01-01 12:00,PARTY_ENABLED
CP0008,01-01-01 12:00,PARTY_ENABLED
CP0009,01-01-01 12:00,PARTY_ENABLED
CP0010,01-01-01 12:00,PARTY_ENABLED
CP0011,01-01-01 12:00,PARTY_ENABLED
CP0012,01-01-01 12:00,PARTY_ENABLED
CP0013,01-01-01 12:00,PARTY_ENABLED
CP0014,01-01-01 12:00,PARTY_ENABLED
CP0015,01-01-01 12:00,PARTY_ENABLED
CP0016,01-01-01 12:00,PARTY_ENABLED
CP0017,01-01-01 12:00,PARTY_ENABLED
CP0018,01-01-01 12:00,PARTY_ENABLED
CP0019,01-01-01 12:00,PARTY_ENABLED
CP0020,01-01-01 12:00,PARTY_ENABLED
CP0021,01-01-01 12:00,PARTY_ENABLED
CP0022,01-01-01 12:00,PARTY_ENABLED
CP0023,01-01-01 12:00,PARTY_ENABLED
CP0024,01-01-01 12:00,PARTY_ENABLED
CP0025,01-01-01 12:00,PARTY_ENABLED
CP0026,01-01-01 12:00,PARTY_ENABLED
CP0027,01-01-01 12:00,PARTY_ENABLED
CP0028,01-01-01 12:00,PARTY_ENABLED
CP0029,01-01-01 12:00,PARTY_ENABLED
CP0030,01-01-01 12:00,PARTY_ENABLED
CP0031,01-01-01 12:00,PARTY_ENABLED
CP0032,01-01-01 12:00,PARTY_ENABLED
CP0033,01-01-01 12:00,PARTY_ENABLED
CP0034,01-01-01 12:00,PARTY_ENABLED
CP0035,01-01-01 12:00,PARTY_ENABLED
CP0036,01-01-01 12:00,PARTY_ENABLED
CP0037,01-01-01 12:00,PARTY_ENABLED
CP0038,01-01-01 12:00,PARTY_ENABLED
CP0039,01-01-01 12:00,PARTY_ENABLED
CP0040,01-01-01 12:00,PARTY_ENABLED
CP0041,01-01-01 12:00,PARTY_ENABLED
CP0042,01-01-01 12:00,PARTY_ENABLED
CP0043,01-01-01 12:00,PARTY_ENABLED
CP0044,01-01-01 12:00,PARTY_ENABLED
CP0045,01-01-01 12:00,PARTY_ENABLED
CP0046,01-01-01 12:00,PARTY_ENABLED
CP0047,01-01-01 12:00,PARTY_ENABLED
CP0048,01-01-01 12:00,PARTY_ENABLED
CP0049,01-01-01 12:00,PARTY_ENABLED
CP0050,01-01-01 12:00,PARTY_ENABLED
CP0051,01-01-01 12:00,PARTY_ENABLED
CP0052,01-01-01 12:00,PARTY_ENABLED
